instrument_id,when_timestamp,gamma_5s,gamma_1m,gamma_30m,gamma_60m,vega_5s,vega_1m,vega_30m,vega_60m,theta_5s,theta_1m,theta_30m,theta_60m
c18b64e5fe9e705453c893b2d5a10838c8d5b1a857fa51f7f0a65f60788dfc91,2022-08-22T00:30:59.000+0000,0.03573031504429546,0.035831313542086976,0.03537033162605046,0.034509624608656427,28.951684607242946,28.879870412060093,28.430644554154686,27.6821512981468,-62.05114951221722,-61.792549757268795,-61.190891370093,-59.325673937315685
d798e8cf80f740ddf0f55eff4c6c29dc6ae90b4080766aba4ae100df628196d4,2022-08-22T00:58:30.000+0000,0.00916869535225425,0.009270307917033219,0.00763228642628691,0.007802245119081989,6.925892807866517,6.955355538169028,6.3331886427920665,6.162417975146676,-17.550436535420918,-17.625137322816926,-16.027882995377404,-15.612978999337646
da8b11878f3f80e427a99bb7472838e02b39cb973a25d92a8ae92ccec5b8f3ba,2022-08-22T00:59:59.000+0000,0.015430067454900581,0.01544683527542777,0.01432514939277654,0.014509963046484484,11.092029941095898,11.094227647842972,9.867362913030515,10.016867080207394,-27.076256861302365,-27.021481571766273,-23.90790394526579,-24.473736268439122
94d6edbd38ac08a9b804fbf073500105090b102047628569d6f883b9ba46d9cc,2022-08-22T00:59:03.000+0000,0.005407683132225448,0.005330626858556442,0.006263346908605097,0.0061441386017663455,7.7480344431218136,7.692530541103981,8.20455942079205,8.20618997860489,-13.552288198696461,-13.567735424528792,-14.238737876056,-14.272340881942794
c23975e7092c5510eeea755e995b04e6d1470c6ceda066e31552f65704984ef7,2022-08-22T00:59:52.000+0000,0.02370379028904953,0.02388749612128866,0.022619810216886808,0.022869575039522767,20.13097335330766,20.17767877389437,18.717831928192744,18.738977481244522,-46.706154719758366,-46.801559301066426,-43.136468910127185,-43.424967585251785
4a6cd69fe35d0647e2b5194654d7e742e5452623eb24987bffe44157ff0c3133,2022-08-22T01:00:00.000+0000,0.028224536559670405,0.028320852267205675,0.02694804300088258,0.027005516187984052,23.36383905843672,23.35195481452095,21.947732320567948,22.077774688121554,-52.93993163267083,-52.92475671642316,-49.48931083158714,-50.10327131366927
c08b9081001b1efa74a4dbaf4429f18775b213ae6c3857394e3042aa1d6826bd,2022-08-22T01:00:04.000+0000,0.018321917267478793,0.01841139700397237,0.016478767407435656,0.016976993420530866,13.840545988119615,13.820724675530926,12.493555817295483,12.602358452018077,-33.16993261201393,-33.134509365996465,-29.801919236518486,-30.28270590379721
8b37ebbd127693ddb1996920fd5037fda93ccec865fd43376bee293f658cd15c,2022-08-22T01:00:02.000+0000,0.03574220414080998,0.03578690931956938,0.03634423433283969,0.03710206746892235,29.277418063659628,29.262237431508826,29.574779977250735,29.48326183417803,-59.769460982959565,-59.71917054543042,-59.97443006125257,-59.98725093566028
f9270e84cfa93194ef42d9a209819364ca0a223676f9768cb5f8ed4d02f86eca,2022-08-22T00:59:53.000+0000,0.012491612642606596,0.012503789267927532,0.01128263378025423,0.01146279482141763,8.793683611121008,8.826110210077411,7.815185416301572,7.8521456547990365,-21.838866523549534,-21.91650728956102,-19.3103845361696,-19.53665059643507
38393f6c4d76d5fc4c091f5a3634fce15b4745e49b94fec2cc439d55115c0871,2022-08-22T01:00:02.000+0000,0.0011304949948885042,0.0010852969321395191,0.0011502453743612914,0.0011684313837186586,3.6902230165644836,3.723035950098313,4.042154086935775,3.965944236553104,-6.559271000357323,-6.639205091321643,-7.08940433460034,-7.003079844428305
7ac33cebc7dc912b1e5c935920da9b597ab6623e9b4707044cb8b61fab16ffe9,2022-08-22T01:00:04.000+0000,0.03281675429637766,0.03281702791953938,0.034887861636439865,0.035201480847165484,27.43779539509534,27.398570464575023,28.240088295652274,28.080323728011155,-54.38310958457204,-54.32665432083239,-55.560536105543406,-55.41277059011897
e2cdadd213945e8095b743a06a93edb7849376ba7b08e8af915ff165fb0686ac,2022-08-22T01:00:02.000+0000,0.015331005373354065,0.01517918214691328,0.017108454247087537,0.01700973642947766,15.223136374982936,15.204318956881666,16.46011552122641,16.20320599839894,-27.717183621724764,-27.71682964123997,-29.638089019179745,-29.286774214843465
bd0206ffca6f77d905162706b8c39f4ca699f8c225dd40506e6a25012bbb4636,2022-08-22T00:59:52.000+0000,0.03644389922274113,0.03643129263018689,0.03595773556171482,0.03698462732319054,29.552061950193934,29.554094503552196,29.304672910359713,29.25521473294732,-62.055699045650535,-62.04950864391312,-61.16994328165658,-61.22482365030835
f2df408ad0f9a4a21fd7be492ac3a2327502fd8a9c8ebd096ca5684e8a45be81,2022-08-22T00:59:52.000+0000,0.03571820338119538,0.0357328616047973,0.03622154947428312,0.03715042866934872,29.283012551081274,29.259110974913106,29.570631399768416,29.49719630453748,-59.763192183379445,-59.69687363470359,-59.969686022611825,-59.94599096622222
c86487c2c2ce5a0c68b94e259c0bbeae0e38ce32df89236b4a85eed9a1855967,2022-08-22T00:59:52.000+0000,0.028039346117999873,0.027913295390987344,0.030493931139732068,0.030773256611789136,24.162468982406438,24.09201496910701,25.295831105881692,25.152081458302515,-46.57915550191413,-46.43176826181977,-48.293578036946485,-48.10647143700729
